inventory_ID,product_ID,quantity_on_hand,quantity_reserved,quantity_available,reorder_level,reorder_quantity,last_restock_date,inventory_status,lot_number,storage_conditions
1082,1082,469,111,358,19,133,2025-02-27 02:05:23,In Stock,LOT-00825,Refrigerated
1083,1083,249,211,38,98,197,2025-09-14 02:05:23,backordered,LOT-47807,Humidity controlled
1084,1084,328,153,175,14,197,2025-04-20 02:05:23,In Stock,LOT-74064,Cool and dry place
1085,1085,399,28,371,52,139,2025-03-24 02:05:23,In Stock,LOT-93085,Keep away from sunlight
1086,1086,476,444,32,25,108,2024-12-02 02:05:23,In Stock,LOT-36866,Humidity controlled
1087,1087,475,5,470,91,147,2025-10-05 02:05:23,In Stock,LOT-32663,Room temperature
1088,1088,268,21,247,50,188,2025-01-16 02:05:23,In Stock,LOT-41638,Refrigerated
1089,1089,167,128,39,99,106,2025-08-15 02:05:23,backordered,LOT-94484,Cool and dry place
1090,1090,344,201,143,67,197,2025-02-16 02:05:23,In Stock,LOT-63122,Cool and dry place
1091,1091,113,55,58,47,150,2025-08-18 02:05:23,In Stock,LOT-41797,Refrigerated
1092,1092,172,21,151,70,196,2025-10-07 02:05:23,In Stock,LOT-49735,Humidity controlled
1093,1093,204,67,137,20,152,2025-02-18 02:05:23,In Stock,LOT-02080,Keep away from sunlight
1094,1094,396,357,39,26,84,2025-02-28 02:05:23,In Stock,LOT-21442,Humidity controlled
1095,1095,101,62,39,60,196,2025-07-24 02:05:23,backordered,LOT-70312,Humidity controlled
1096,1096,315,268,47,41,112,2025-09-26 02:05:23,In Stock,LOT-07356,Room temperature
1097,1097,397,220,177,51,197,2025-09-17 02:05:23,In Stock,LOT-47570,Cool and dry place
1098,1098,343,211,132,64,143,2025-05-07 02:05:23,In Stock,LOT-51204,Refrigerated
1099,1099,164,88,76,86,56,2025-05-29 02:05:23,backordered,LOT-61872,Refrigerated
1100,1100,179,157,22,66,87,2025-03-21 02:05:23,backordered,LOT-34601,Cool and dry place
1101,1101,473,418,55,39,101,2024-11-16 02:05:23,In Stock,LOT-36730,Room temperature
1102,1102,79,10,69,24,63,2025-06-30 02:05:23,In Stock,LOT-37183,Humidity controlled
1103,1103,474,75,399,46,53,2025-05-10 02:05:23,In Stock,LOT-76452,Cool and dry place
1104,1104,156,115,41,70,55,2025-05-16 02:05:23,backordered,LOT-08814,Refrigerated
1105,1105,378,275,103,37,102,2025-01-26 02:05:23,In Stock,LOT-74350,Humidity controlled
1106,1106,384,132,252,80,173,2024-12-18 02:05:23,In Stock,LOT-31365,Refrigerated
1107,1107,355,342,13,12,146,2025-01-07 02:05:23,In Stock,LOT-02491,Humidity controlled
1108,1108,22,8,14,31,65,2025-06-09 02:05:23,backordered,LOT-63009,Refrigerated
1109,1109,404,356,48,89,119,2025-10-05 02:05:23,backordered,LOT-79251,Keep away from sunlight
1110,1110,335,4,331,18,149,2024-11-28 02:05:23,In Stock,LOT-32719,Room temperature
1111,1111,339,337,2,56,77,2025-10-23 02:05:23,backordered,LOT-50052,Room temperature
1112,1112,444,332,112,59,109,2025-04-21 02:05:23,In Stock,LOT-81273,Humidity controlled
1113,1113,500,363,137,22,130,2025-02-26 02:05:23,In Stock,LOT-58573,Humidity controlled
1114,1114,272,45,227,33,100,2025-02-18 02:05:23,In Stock,LOT-06524,Keep away from sunlight
1115,1115,287,11,276,15,113,2025-02-03 02:05:23,In Stock,LOT-07784,Room temperature
1116,1116,170,125,45,60,90,2025-10-23 02:05:23,backordered,LOT-87392,Room temperature
1117,1117,350,180,170,55,127,2025-07-04 02:05:23,In Stock,LOT-85574,Humidity controlled
1118,1118,141,15,126,90,115,2025-04-17 02:05:23,In Stock,LOT-98218,Cool and dry place
1119,1119,483,284,199,45,107,2025-08-16 02:05:23,In Stock,LOT-27448,Room temperature
1120,1120,459,201,258,94,85,2025-09-18 02:05:23,In Stock,LOT-57086,Keep away from sunlight
1121,1121,266,116,150,63,111,2025-01-12 02:05:23,In Stock,LOT-20959,Refrigerated
1122,1122,218,79,139,87,134,2025-03-17 02:05:23,In Stock,LOT-35186,Humidity controlled
1123,1123,67,26,41,93,85,2025-01-08 02:05:23,backordered,LOT-38782,Humidity controlled
1124,1124,350,103,247,27,129,2024-11-14 02:05:23,In Stock,LOT-94565,Humidity controlled
1125,1125,465,69,396,65,87,2024-12-01 02:05:23,In Stock,LOT-11810,Humidity controlled
1126,1126,469,80,389,50,67,2025-01-20 02:05:23,In Stock,LOT-22031,Humidity controlled
1127,1127,485,368,117,25,97,2025-05-23 02:05:23,In Stock,LOT-73109,Refrigerated
1128,1128,372,15,357,50,155,2025-04-05 02:05:23,In Stock,LOT-67899,Room temperature
1129,1129,226,190,36,91,120,2025-08-16 02:05:23,backordered,LOT-40539,Refrigerated
1130,1130,54,8,46,33,56,2024-12-23 02:05:23,In Stock,LOT-10371,Humidity controlled
1131,1131,136,59,77,86,109,2025-07-06 02:05:23,backordered,LOT-70586,Cool and dry place
1132,1132,183,20,163,98,172,2025-08-25 02:05:23,In Stock,LOT-50948,Humidity controlled
1133,1133,433,309,124,70,145,2025-07-30 02:05:23,In Stock,LOT-01413,Keep away from sunlight
1134,1134,251,121,130,27,91,2025-07-26 02:05:23,In Stock,LOT-81138,Refrigerated
1135,1135,16,13,3,11,119,2025-04-04 02:05:23,backordered,LOT-63383,Refrigerated
1136,1136,380,343,37,35,102,2025-09-29 02:05:23,In Stock,LOT-92886,Refrigerated
1137,1137,474,224,250,88,175,2024-11-14 02:05:23,In Stock,LOT-19576,Room temperature
1138,1138,443,234,209,41,159,2025-04-08 02:05:23,In Stock,LOT-12286,Cool and dry place
1139,1139,311,194,117,50,150,2024-12-23 02:05:23,In Stock,LOT-85289,Humidity controlled
1140,1140,304,274,30,77,59,2025-02-08 02:05:23,backordered,LOT-75585,Cool and dry place
1141,1141,231,116,115,15,112,2025-02-09 02:05:23,In Stock,LOT-56659,Humidity controlled
1142,1142,202,188,14,15,192,2025-04-17 02:05:23,backordered,LOT-39836,Humidity controlled
1143,1143,391,322,69,16,98,2025-06-05 02:05:23,In Stock,LOT-84577,Keep away from sunlight
1144,1144,203,77,126,46,168,2025-08-08 02:05:23,In Stock,LOT-60049,Keep away from sunlight
1145,1145,150,13,137,98,182,2025-08-21 02:05:23,In Stock,LOT-08240,Keep away from sunlight
1146,1146,424,330,94,67,73,2025-02-18 02:05:23,In Stock,LOT-43350,Cool and dry place
1147,1147,92,74,18,99,189,2025-08-24 02:05:23,backordered,LOT-48889,Keep away from sunlight
1148,1148,211,82,129,67,56,2025-08-02 02:05:23,In Stock,LOT-92107,Keep away from sunlight
1149,1149,302,103,199,68,73,2025-06-26 02:05:23,In Stock,LOT-52245,Room temperature
1150,1150,354,332,22,30,81,2025-09-16 02:05:23,backordered,LOT-93344,Cool and dry place
1151,1151,361,230,131,91,142,2025-09-19 02:05:23,In Stock,LOT-19693,Humidity controlled
1152,1152,362,196,166,75,90,2025-04-22 02:05:23,In Stock,LOT-15727,Humidity controlled
1153,1153,194,11,183,31,135,2025-01-16 02:05:23,In Stock,LOT-91940,Refrigerated
1154,1154,83,18,65,32,63,2025-04-01 02:05:23,In Stock,LOT-96105,Room temperature
1155,1155,158,114,44,46,96,2025-09-02 02:05:23,backordered,LOT-56613,Refrigerated
1156,1156,491,103,388,10,114,2025-10-26 02:05:23,In Stock,LOT-90604,Keep away from sunlight
1157,1157,254,218,36,73,189,2025-10-30 02:05:23,backordered,LOT-80589,Humidity controlled
1158,1158,451,252,199,40,105,2025-01-04 02:05:23,In Stock,LOT-25832,Keep away from sunlight
1159,1159,232,104,128,66,70,2024-12-29 02:05:23,In Stock,LOT-06799,Humidity controlled
1160,1160,3,1,2,80,121,2024-12-19 02:05:23,backordered,LOT-81364,Humidity controlled
1161,1161,419,106,313,16,97,2025-08-18 02:05:23,In Stock,LOT-62251,Cool and dry place
1162,1162,334,178,156,14,87,2025-10-16 02:05:23,In Stock,LOT-79086,Humidity controlled
1163,1163,429,308,121,48,134,2025-09-18 02:05:23,In Stock,LOT-41686,Cool and dry place
1164,1164,55,26,29,32,91,2024-11-22 02:05:23,backordered,LOT-22783,Room temperature
1165,1165,312,304,8,83,193,2025-08-03 02:05:23,backordered,LOT-76938,Keep away from sunlight
1166,1166,383,296,87,56,59,2025-09-15 02:05:23,In Stock,LOT-98331,Room temperature
1167,1167,165,94,71,58,67,2025-03-28 02:05:23,In Stock,LOT-46591,Humidity controlled
1168,1168,33,18,15,70,84,2025-08-31 02:05:23,backordered,LOT-16655,Room temperature
1169,1169,168,134,34,62,184,2025-07-17 02:05:23,backordered,LOT-35590,Refrigerated
1170,1170,313,29,284,23,196,2024-12-14 02:05:23,In Stock,LOT-42597,Humidity controlled
1171,1171,44,30,14,98,123,2025-03-28 02:05:23,backordered,LOT-92703,Humidity controlled
1172,1172,434,162,272,43,184,2025-01-11 02:05:23,In Stock,LOT-35211,Humidity controlled
1173,1173,181,33,148,88,194,2025-02-20 02:05:23,In Stock,LOT-03924,Humidity controlled
1174,1174,373,323,50,73,176,2025-08-01 02:05:23,backordered,LOT-05147,Humidity controlled
1175,1175,119,90,29,47,99,2025-11-01 02:05:23,backordered,LOT-70538,Cool and dry place
1176,1176,12,7,5,90,80,2025-07-18 02:05:23,backordered,LOT-33884,Humidity controlled
1177,1177,212,105,107,15,135,2025-05-06 02:05:23,In Stock,LOT-87920,Humidity controlled
1178,1178,412,326,86,37,52,2024-12-09 02:05:23,In Stock,LOT-69804,Refrigerated
1179,1179,353,144,209,42,67,2025-05-28 02:05:23,In Stock,LOT-20439,Room temperature
1180,1180,259,165,94,10,79,2024-11-15 02:05:23,In Stock,LOT-40701,Room temperature
1181,1181,174,101,73,82,57,2025-08-04 02:05:23,backordered,LOT-64510,Refrigerated
1182,1182,169,86,83,96,172,2025-03-04 02:05:23,backordered,LOT-46368,Cool and dry place
1183,1183,330,69,261,71,89,2024-12-15 02:05:23,In Stock,LOT-15798,Keep away from sunlight
1184,1184,456,442,14,78,135,2025-03-10 02:05:23,backordered,LOT-12387,Keep away from sunlight
1185,1185,475,380,95,17,183,2025-06-01 02:05:23,In Stock,LOT-80038,Humidity controlled
1186,1186,371,347,24,50,192,2025-01-31 02:05:23,backordered,LOT-45762,Cool and dry place
1187,1187,106,73,33,97,134,2025-05-04 02:05:23,backordered,LOT-05554,Cool and dry place
1188,1188,496,76,420,45,57,2025-05-12 02:05:23,In Stock,LOT-38404,Keep away from sunlight
1189,1189,320,273,47,31,196,2024-12-26 02:05:23,In Stock,LOT-60843,Keep away from sunlight
1190,1190,95,76,19,24,128,2024-11-05 02:05:23,backordered,LOT-25621,Room temperature
1191,1191,363,16,347,44,155,2025-09-18 02:05:23,In Stock,LOT-68936,Keep away from sunlight
1192,1192,449,121,328,57,165,2025-05-31 02:05:23,In Stock,LOT-39264,Refrigerated
1193,1193,268,154,114,32,78,2025-04-24 02:05:23,In Stock,LOT-95782,Cool and dry place
1194,1194,398,103,295,21,163,2025-02-15 02:05:23,In Stock,LOT-32983,Cool and dry place
1195,1195,409,247,162,74,89,2025-07-27 02:05:23,In Stock,LOT-24826,Room temperature
1196,1196,472,247,225,77,129,2025-05-18 02:05:23,In Stock,LOT-29251,Refrigerated
1197,1197,393,50,343,76,83,2025-07-19 02:05:23,In Stock,LOT-88125,Cool and dry place
1198,1198,235,99,136,76,79,2025-10-30 02:05:23,In Stock,LOT-20566,Room temperature
1199,1199,477,22,455,97,72,2025-05-15 02:05:23,In Stock,LOT-47423,Keep away from sunlight
1200,1200,455,23,432,23,183,2024-11-29 02:05:23,In Stock,LOT-12209,Room temperature
1201,1201,11,9,2,49,103,2025-05-21 02:05:23,backordered,LOT-94999,Refrigerated
1202,1202,98,36,62,45,186,2025-05-22 02:05:23,In Stock,LOT-39330,Keep away from sunlight
1203,1203,343,60,283,44,88,2025-08-13 02:05:23,In Stock,LOT-51728,Room temperature
1204,1204,58,0,58,89,193,2025-02-11 02:05:23,backordered,LOT-97526,Cool and dry place
1205,1205,105,69,36,54,190,2025-05-22 02:05:23,backordered,LOT-77223,Room temperature
1206,1206,72,36,36,83,112,2025-08-06 02:05:23,backordered,LOT-30604,Cool and dry place
1207,1207,159,156,3,53,188,2025-03-19 02:05:23,backordered,LOT-63331,Cool and dry place
1208,1208,66,3,63,70,62,2025-09-08 02:05:23,backordered,LOT-27975,Keep away from sunlight
1209,1209,27,2,25,64,150,2025-08-02 02:05:23,backordered,LOT-73660,Humidity controlled
1210,1210,456,303,153,90,164,2024-12-21 02:05:23,In Stock,LOT-96569,Room temperature
1211,1211,159,85,74,35,186,2025-09-22 02:05:23,In Stock,LOT-99880,Keep away from sunlight
1212,1212,290,67,223,21,169,2025-09-13 02:05:23,In Stock,LOT-81770,Keep away from sunlight
1213,1213,158,119,39,70,109,2025-07-10 02:05:23,backordered,LOT-38860,Refrigerated
1214,1214,440,315,125,43,143,2025-04-15 02:05:23,In Stock,LOT-86803,Refrigerated
1215,1215,358,340,18,52,133,2025-03-14 02:05:23,backordered,LOT-47644,Keep away from sunlight
1216,1216,15,2,13,70,78,2025-05-06 02:05:23,backordered,LOT-72649,Keep away from sunlight
1217,1217,236,216,20,31,122,2025-05-07 02:05:23,backordered,LOT-08277,Humidity controlled
1218,1218,294,65,229,75,76,2025-04-08 02:05:23,In Stock,LOT-18129,Cool and dry place
1219,1219,166,142,24,93,68,2025-05-31 02:05:23,backordered,LOT-82665,Humidity controlled
1220,1220,236,102,134,85,155,2025-07-02 02:05:23,In Stock,LOT-70279,Humidity controlled
1221,1221,124,70,54,30,173,2025-04-19 02:05:23,In Stock,LOT-37145,Cool and dry place
1222,1222,174,53,121,98,160,2025-03-24 02:05:23,In Stock,LOT-21117,Humidity controlled
1223,1223,403,175,228,79,110,2025-08-05 02:05:23,In Stock,LOT-51868,Cool and dry place
1224,1224,378,364,14,83,174,2025-09-04 02:05:23,backordered,LOT-92686,Humidity controlled
1225,1225,305,237,68,51,192,2025-09-13 02:05:23,In Stock,LOT-02592,Keep away from sunlight
1226,1226,90,39,51,61,67,2024-12-30 02:05:23,backordered,LOT-22206,Cool and dry place
1227,1227,350,305,45,58,133,2025-02-21 02:05:23,backordered,LOT-44742,Cool and dry place
1228,1228,46,13,33,27,198,2024-12-11 02:05:23,In Stock,LOT-12309,Cool and dry place
1229,1229,387,75,312,94,88,2025-03-15 02:05:23,In Stock,LOT-40777,Humidity controlled
1230,1230,149,99,50,88,197,2025-03-18 02:05:23,backordered,LOT-80973,Refrigerated
1231,1231,105,87,18,50,126,2025-01-14 02:05:23,backordered,LOT-39776,Room temperature
1232,1232,470,222,248,54,72,2025-01-07 02:05:23,In Stock,LOT-71990,Cool and dry place
1233,1233,313,261,52,61,82,2025-06-04 02:05:23,backordered,LOT-38498,Cool and dry place
1234,1234,189,140,49,16,50,2024-11-06 02:05:23,In Stock,LOT-30220,Humidity controlled
1235,1235,420,183,237,24,122,2025-10-17 02:05:23,In Stock,LOT-50209,Refrigerated
1236,1236,221,179,42,85,150,2024-12-16 02:05:23,backordered,LOT-94510,Room temperature
1237,1237,364,195,169,61,147,2025-03-24 02:05:23,In Stock,LOT-16224,Humidity controlled
1238,1238,108,84,24,32,171,2025-08-22 02:05:23,backordered,LOT-99982,Refrigerated
1239,1239,284,196,88,56,156,2025-08-15 02:05:23,In Stock,LOT-79501,Room temperature
1240,1240,446,343,103,26,84,2025-10-27 02:05:23,In Stock,LOT-45561,Cool and dry place
1241,1241,331,8,323,28,174,2024-11-30 02:05:23,In Stock,LOT-68147,Keep away from sunlight
1242,1242,499,69,430,20,85,2024-12-08 02:05:23,In Stock,LOT-21458,Keep away from sunlight
1243,1243,440,233,207,99,158,2024-12-17 02:05:23,In Stock,LOT-68339,Refrigerated
1244,1244,232,130,102,64,191,2025-03-16 02:05:23,In Stock,LOT-01981,Keep away from sunlight
1245,1245,181,57,124,33,158,2024-12-27 02:05:23,In Stock,LOT-79469,Cool and dry place
1246,1246,295,255,40,40,178,2025-06-17 02:05:23,In Stock,LOT-54899,Keep away from sunlight
1247,1247,474,279,195,83,143,2025-10-15 02:05:23,In Stock,LOT-52997,Cool and dry place
1248,1248,290,247,43,100,144,2025-09-05 02:05:23,backordered,LOT-87729,Humidity controlled
1249,1249,246,246,0,98,70,2025-08-21 02:05:23,backordered,LOT-34301,Humidity controlled
1250,1250,439,384,55,45,169,2025-02-10 02:05:23,In Stock,LOT-07139,Cool and dry place
1251,1251,267,45,222,41,170,2024-12-14 02:05:23,In Stock,LOT-66055,Cool and dry place
1252,1252,350,324,26,79,198,2025-05-26 02:05:23,backordered,LOT-83034,Humidity controlled
1253,1253,27,10,17,78,52,2025-03-06 02:05:23,backordered,LOT-41448,Keep away from sunlight
1254,1254,262,240,22,83,134,2025-03-31 02:05:23,backordered,LOT-85015,Room temperature
1255,1255,491,408,83,47,124,2025-08-08 02:05:23,In Stock,LOT-56990,Cool and dry place
1256,1256,355,305,50,48,194,2025-06-21 02:05:23,In Stock,LOT-23557,Cool and dry place
1257,1257,322,242,80,84,93,2025-01-12 02:05:23,backordered,LOT-70272,Cool and dry place
1258,1258,336,149,187,89,56,2025-06-08 02:05:23,In Stock,LOT-78576,Keep away from sunlight
1259,1259,42,8,34,74,69,2025-06-12 02:05:23,backordered,LOT-08495,Room temperature
1260,1260,67,35,32,45,115,2025-10-25 02:05:23,backordered,LOT-88039,Cool and dry place
1261,1261,309,89,220,85,88,2024-11-29 02:05:23,In Stock,LOT-55124,Keep away from sunlight
1262,1262,189,44,145,43,110,2025-02-26 02:05:23,In Stock,LOT-05682,Refrigerated
1263,1263,409,270,139,14,137,2025-09-19 02:05:23,In Stock,LOT-99629,Refrigerated
1264,1264,304,78,226,73,155,2025-04-19 02:05:23,In Stock,LOT-14504,Refrigerated
1265,1265,338,225,113,91,92,2025-07-17 02:05:23,In Stock,LOT-61735,Humidity controlled
1266,1266,375,176,199,16,117,2025-09-03 02:05:23,In Stock,LOT-74384,Cool and dry place
1267,1267,85,59,26,61,171,2025-05-31 02:05:23,backordered,LOT-21503,Keep away from sunlight
1268,1268,382,272,110,39,147,2024-11-17 02:05:23,In Stock,LOT-17807,Keep away from sunlight
1269,1269,242,67,175,28,185,2025-03-24 02:05:23,In Stock,LOT-82357,Cool and dry place
1270,1270,147,114,33,58,130,2025-02-03 02:05:23,backordered,LOT-84521,Cool and dry place
1271,1271,49,34,15,91,140,2025-03-25 02:05:23,backordered,LOT-82307,Humidity controlled
1272,1272,470,333,137,44,135,2025-06-16 02:05:23,In Stock,LOT-68104,Room temperature
1273,1273,410,50,360,42,199,2025-04-15 02:05:23,In Stock,LOT-09157,Keep away from sunlight
1274,1274,395,345,50,40,200,2025-07-25 02:05:23,In Stock,LOT-01840,Humidity controlled
1275,1275,172,46,126,50,190,2025-10-27 02:05:23,In Stock,LOT-94353,Cool and dry place
1276,1276,425,34,391,11,155,2025-09-12 02:05:23,In Stock,LOT-34485,Humidity controlled
1277,1277,53,43,10,67,139,2025-07-12 02:05:23,backordered,LOT-71422,Room temperature
1278,1278,128,49,79,14,56,2024-12-19 02:05:23,In Stock,LOT-41098,Cool and dry place
1279,1279,29,19,10,94,105,2024-12-30 02:05:23,backordered,LOT-81385,Cool and dry place
1280,1280,362,61,301,21,83,2025-04-23 02:05:23,In Stock,LOT-85424,Humidity controlled
1281,1281,411,94,317,24,97,2025-06-25 02:05:23,In Stock,LOT-93214,Room temperature
1282,1282,239,169,70,19,166,2025-06-13 02:05:23,In Stock,LOT-95870,Keep away from sunlight
1283,1283,354,341,13,51,115,2025-08-11 02:05:23,backordered,LOT-20701,Cool and dry place
1284,1284,141,15,126,58,149,2025-05-15 02:05:23,In Stock,LOT-60166,Cool and dry place
1285,1285,132,67,65,32,162,2025-09-27 02:05:23,In Stock,LOT-29979,Keep away from sunlight
1286,1286,475,102,373,88,150,2025-08-02 02:05:23,In Stock,LOT-54538,Keep away from sunlight
1287,1287,55,9,46,79,160,2025-07-13 02:05:23,backordered,LOT-17921,Humidity controlled
1288,1288,329,54,275,66,116,2025-09-10 02:05:23,In Stock,LOT-71747,Cool and dry place
1289,1289,37,4,33,83,114,2025-03-18 02:05:23,backordered,LOT-73329,Cool and dry place
1290,1290,459,254,205,29,50,2025-10-13 02:05:23,In Stock,LOT-45625,Keep away from sunlight
1291,1291,136,38,98,99,134,2025-04-15 02:05:23,backordered,LOT-57701,Humidity controlled
1292,1292,1,1,0,71,161,2025-04-09 02:05:23,backordered,LOT-71577,Cool and dry place
1293,1293,276,115,161,10,148,2024-11-14 02:05:23,In Stock,LOT-24599,Keep away from sunlight
1294,1294,62,36,26,78,141,2025-05-15 02:05:23,backordered,LOT-28161,Room temperature
1295,1295,205,14,191,90,73,2025-04-28 02:05:23,In Stock,LOT-58148,Humidity controlled
1296,1296,436,174,262,20,167,2025-06-06 02:05:23,In Stock,LOT-76963,Refrigerated
1297,1297,90,70,20,15,148,2024-11-28 02:05:23,In Stock,LOT-93827,Refrigerated
1298,1298,153,99,54,23,141,2025-02-25 02:05:23,In Stock,LOT-61539,Cool and dry place
1299,1299,453,323,130,66,98,2025-08-22 02:05:23,In Stock,LOT-66958,Cool and dry place
1300,1300,98,3,95,85,111,2025-02-24 02:05:23,In Stock,LOT-32197,Keep away from sunlight
1301,1301,32,19,13,73,186,2025-03-16 02:05:23,backordered,LOT-19975,Cool and dry place
1302,1302,18,10,8,17,136,2025-10-11 02:05:23,backordered,LOT-81724,Keep away from sunlight
1303,1303,60,13,47,93,183,2025-03-12 02:05:23,backordered,LOT-61919,Humidity controlled
1304,1304,76,74,2,39,68,2025-10-14 02:05:23,backordered,LOT-65701,Refrigerated
1305,1305,250,167,83,12,170,2024-12-20 02:05:23,In Stock,LOT-32902,Cool and dry place
1306,1306,124,89,35,93,83,2025-10-25 02:05:23,backordered,LOT-27846,Refrigerated
1307,1307,323,25,298,49,74,2025-03-13 02:05:23,In Stock,LOT-99733,Humidity controlled
1308,1308,87,75,12,18,77,2025-09-04 02:05:23,backordered,LOT-54946,Keep away from sunlight
1309,1309,304,112,192,18,101,2025-03-28 02:05:23,In Stock,LOT-51909,Room temperature
1310,1310,415,377,38,96,152,2025-05-19 02:05:23,backordered,LOT-86240,Cool and dry place
1311,1311,499,350,149,83,189,2025-08-23 02:05:23,In Stock,LOT-58008,Room temperature
1312,1312,428,406,22,37,61,2025-01-02 02:05:23,backordered,LOT-51403,Refrigerated
1313,1313,171,16,155,25,120,2025-08-21 02:05:23,In Stock,LOT-69656,Keep away from sunlight
1314,1314,86,47,39,80,92,2025-03-22 02:05:23,backordered,LOT-66683,Refrigerated
1315,1315,473,297,176,15,84,2025-09-11 02:05:23,In Stock,LOT-27238,Humidity controlled
1316,1316,192,40,152,12,174,2025-09-21 02:05:23,In Stock,LOT-65624,Cool and dry place
1317,1317,3,1,2,21,122,2025-04-02 02:05:23,backordered,LOT-22010,Keep away from sunlight
1318,1318,354,64,290,36,86,2024-12-09 02:05:23,In Stock,LOT-27621,Room temperature
1319,1319,267,230,37,62,111,2025-08-04 02:05:23,backordered,LOT-26796,Humidity controlled
1320,1320,354,19,335,86,96,2025-02-19 02:05:23,In Stock,LOT-92786,Humidity controlled
1321,1321,486,45,441,90,127,2025-05-07 02:05:23,In Stock,LOT-87653,Keep away from sunlight
1322,1322,2,2,0,40,99,2025-09-02 02:05:23,backordered,LOT-26909,Humidity controlled
1323,1323,500,48,452,89,142,2025-01-29 02:05:23,In Stock,LOT-73846,Humidity controlled
1324,1324,112,59,53,90,103,2025-06-13 02:05:23,backordered,LOT-89500,Cool and dry place
1325,1325,99,14,85,29,171,2025-02-20 02:05:23,In Stock,LOT-97519,Refrigerated
1326,1326,81,5,76,16,143,2025-06-09 02:05:23,In Stock,LOT-71284,Refrigerated
1327,1327,222,64,158,52,166,2025-10-10 02:05:23,In Stock,LOT-78189,Cool and dry place
1328,1328,379,26,353,78,95,2025-08-13 02:05:23,In Stock,LOT-13718,Cool and dry place
1329,1329,248,131,117,24,68,2025-07-04 02:05:23,In Stock,LOT-94905,Keep away from sunlight
1330,1330,303,296,7,51,157,2025-07-23 02:05:23,backordered,LOT-80778,Room temperature
1331,1331,117,99,18,24,133,2025-07-08 02:05:23,backordered,LOT-79565,Cool and dry place
1332,1332,121,94,27,62,101,2025-04-23 02:05:23,backordered,LOT-44209,Refrigerated
1333,1333,37,30,7,84,174,2025-10-05 02:05:23,backordered,LOT-49407,Keep away from sunlight
1334,1334,74,27,47,88,166,2025-08-02 02:05:23,backordered,LOT-92904,Keep away from sunlight
1335,1335,191,34,157,68,99,2024-12-13 02:05:23,In Stock,LOT-90471,Room temperature
1336,1336,499,138,361,35,135,2025-08-28 02:05:23,In Stock,LOT-28144,Cool and dry place
1337,1337,354,291,63,17,121,2025-08-24 02:05:23,In Stock,LOT-29444,Cool and dry place
1338,1338,436,238,198,68,157,2025-08-06 02:05:23,In Stock,LOT-01929,Room temperature
1339,1339,112,37,75,87,90,2024-12-10 02:05:23,backordered,LOT-27524,Humidity controlled
1340,1340,463,87,376,83,191,2025-07-07 02:05:23,In Stock,LOT-37280,Cool and dry place
1341,1341,210,133,77,72,105,2025-01-03 02:05:23,In Stock,LOT-51292,Keep away from sunlight
1342,1342,428,236,192,45,53,2025-03-27 02:05:23,In Stock,LOT-76637,Refrigerated
1343,1343,126,41,85,65,198,2025-07-11 02:05:23,In Stock,LOT-23950,Humidity controlled
1344,1344,484,76,408,83,51,2025-04-02 02:05:23,In Stock,LOT-41027,Cool and dry place
1345,1345,20,15,5,74,58,2025-03-29 02:05:23,backordered,LOT-67478,Humidity controlled
1346,1346,201,122,79,99,75,2025-03-15 02:05:23,backordered,LOT-36674,Keep away from sunlight
1347,1347,123,10,113,81,53,2024-11-12 02:05:23,In Stock,LOT-28604,Keep away from sunlight
1348,1348,486,111,375,26,141,2025-06-03 02:05:23,In Stock,LOT-76580,Refrigerated
1349,1349,331,46,285,12,172,2024-11-24 02:05:23,In Stock,LOT-18569,Room temperature
1350,1350,82,58,24,83,199,2025-10-20 02:05:23,backordered,LOT-45441,Keep away from sunlight
1351,1351,237,197,40,27,153,2025-07-30 02:05:23,In Stock,LOT-49673,Room temperature
1352,1352,320,237,83,100,50,2024-12-15 02:05:23,backordered,LOT-93852,Cool and dry place
1353,1353,197,176,21,52,185,2025-10-16 02:05:23,backordered,LOT-58001,Room temperature
1354,1354,218,192,26,44,188,2025-01-11 02:05:23,backordered,LOT-06181,Refrigerated
1355,1355,403,350,53,20,135,2025-10-04 02:05:23,In Stock,LOT-75344,Humidity controlled
1356,1356,484,465,19,96,143,2025-10-06 02:05:23,backordered,LOT-30091,Cool and dry place
1357,1357,196,93,103,69,60,2025-04-28 02:05:23,In Stock,LOT-09391,Room temperature
1358,1358,89,82,7,81,67,2025-01-18 02:05:23,backordered,LOT-11926,Refrigerated
1359,1359,70,42,28,40,188,2025-09-04 02:05:23,backordered,LOT-92124,Keep away from sunlight
1360,1360,377,297,80,99,103,2025-07-09 02:05:23,backordered,LOT-47174,Room temperature
1361,1361,180,68,112,74,158,2025-06-13 02:05:23,In Stock,LOT-65421,Cool and dry place
1362,1362,32,23,9,54,165,2025-02-26 02:05:23,backordered,LOT-40665,Humidity controlled
1363,1363,269,62,207,70,186,2024-11-19 02:05:23,In Stock,LOT-04427,Humidity controlled
1364,1364,460,149,311,67,144,2024-11-22 02:05:23,In Stock,LOT-17396,Cool and dry place
1365,1365,96,58,38,21,70,2025-04-15 02:05:23,In Stock,LOT-27128,Refrigerated
1366,1366,147,19,128,23,92,2025-06-13 02:05:23,In Stock,LOT-63917,Cool and dry place
1367,1367,356,75,281,73,88,2025-07-20 02:05:23,In Stock,LOT-41011,Humidity controlled
